from,to
382,290
321,410
83,290
66,317
346,83
412,410
405,399
404,290
135,1
75,290
350,290
450,317
346,1
102,290
102,290
102,290
382,83
182,83
399,1
382,416
310,410
343,25
321,83
2467,290
310,416
135,416
25,416
75,344
66,344
340,416
121,350
424,83
422,344
346,416
353,85
3,349
250,344
121,1
431,65
431,360
351,83
360,83
2,83
431,398
317,362
434,1
239,416
434,1
349,83
297,398
431,2
431,1657
102,344
302,85
350,350
2926,27
259,11
445,11
986,362
45,349
404,11
404,416
310,416
83,416
71,416
451,1
447,78
83,436
423,142
297,398
447,456
317,11
66,1
373,184
441,382
66,382
373,447
75,441
2,416
11,441
1,416
27,441
2,349
463,303
25,441
317,370
370,1
370,81
322,450
466,1
468,398
143,462
143,290
25,290
470,381
135,462
350,290
454,462
239,462
454,462
349,462
135,462
416,462
349,462
2,462
454,1
135,351
469,78
93,441
405,290
459,462
405,462
290,462
430,396
763,351
340,462
382,462
370,85
382,382
297,362
473,83
480,1
36108,143
375,462
375,462
375,462
431,362
250,353
431,370
302,482
250,482
317,370
310,284
382,382
425,290
360,284
66,284
488,65
350,456
297,462
360,362
360,350
310,438
382,297
350,490
75,344
1,438
296,398
310,2
493,85
381,284
381,284
381,83
381,344
498,462
498,462
381,284
498,143
360,490
322,296
297,492
135,490
297,360
3,498
66,396
513,297
431,360
297,490
297,498
451,65
513,290
451,65
519,360
93,65
350,65
522,462
986,360
532,462
322,344
424,490
397,75
454,65
397,83
539,65
350,467
2,297
556,550
158,550
135,550
350,550
370,65
556,538
135,65
350,538
562,538
370,2
1,540
290,540
83,65
83,65
440,467
290,570
350,284
429,462
429,462
136,550
431,467
572,65
382,65
426,290
66,290
577,143
2,290
382,290
3,550
143,540
582,284
428,492
302,570
353,587
93,451
3,587
428,353
350,587
239,587
350,353
75,353
66,349
590,467
603,349
424,353
370,290
605,65
605,65
613,482
440,607
2,66
613,135
307,1
66,290
349,66
375,349
468,349
310,451
619,65
143,618
586,621
350,617
440,617
78,621
93,621
630,586
1,625
350,625
362,1
121,290
622,332
30,467
250,135
763,351
577,16
307,135
493,66
340,349
986,332
445,441
642,441
643,349
447,353
297,332
423,648
340,648
360,332
349,641
136,650
322,332
619,1
657,65
619,143
519,332
322,350
143,426
200,16
519,1
397,75
66,425
359,650
669,668
426,641
673,143
98,143
136,668
297,416
370,492
676,65
630,586
440,2480
11,678
297,290
679,85
30,426
42,361
683,66
290,340
416,340
310,350
75,344
49,344
290,689
2,416
2,689
619,668
290,668
350,344
382,416
350,668
350,689
75,689
93,65
440,382
396,689
143,382
93,416
25,416
586,344
143,2480
19,416
696,416
19,416
2,416
613,416
27,416
622,343
344,699
622,699
317,343
343,699
382,699
763,699
437,75
317,687
75,296
2,699
2,436
697,416
699,426
702,416
25,303
11,296
702,621
184,689
704,663
11,382
2,11
586,296
290,382
290,699
705,65
25,382
422,382
11,709
396,382
350,699
396,709
350,709
422,11
362,416
493,699
310,321
622,317
1,709
45,317
422,416
102,416
1,416
714,382
45,699
45,303
45,343
350,290
345,290
11,290
405,290
445,441
303,290
143,290
717,709
717,344
1826,709
15245,78
451,317
302,85
451,416
380,317
622,303
98,317
86,303
732,303
733,416
584,416
737,416
738,416
511,416
733,709
360,722
733,382
454,728
454,416
436,382
619,416
439,307
622,667
121,290
519,2
431,2480
580,317
750,416
751,317
749,416
431,2
441,511
498,494
752,416
336,290
625,317
756,416
360,353
290,416
65,382
350,353
428,336
402,351
143,65
143,65
2,336
402,351
36108,65
402,351
402,462
402,462
350,78
571,336
763,351
763,317
441,65
382,65
1,1
734,65
405,65
766,398
451,349
65,2
405,2480
65,65
767,494
136,768
25,728
344,768
468,667
763,768
143,136
441,1
404,65
2,772
178,641
3,775
143,773
317,344
622,344
779,773
1004,774
83,344
321,344
622,83
317,83
327,65
451,83
424,772
317,83
121,65
582,83
2,344
778,1
781,344
683,65
121,65
488,83
783,65
783,65
66,344
582,1
361,135
619,1
582,349
143,484
619,484
121,65
605,761
350,342
307,344
605,65
350,484
121,342
261,66
261,349
790,1
184,788
350,788
346,83
321,290
102,66
65,290
184,360
290,317
493,290
350,11
3,290
65,709
440,317
2,709
102,349
791,344
321,622
350,290
272,66
717,709
440,382
784,273
795,135
380,290
45,788
1459,273
445,484
1459,792
749,344
519,2
340,622
381,316
136,136
345,382
381,343
109,65
404,622
310,382
799,321
800,699
406,792
728,317
622,382
349,65
800,382
460,76
322,778
297,76
709,382
297,382
425,66
802,798
800,290
454,1
454,445
550,1
290,66
519,349
519,65
750,349
717,349
83,699
586,699
431,349
778,336
360,788
360,750
2,349
297,78
586,350
586,78
767,807
271,66
78,11
25,66
673,699
810,66
809,462
25,462
468,290
986,76
322,462
440,807
493,66
454,792
673,807
22,66
819,317
763,184
824,1
22,11
310,750
66,813
824,303
345,813
25,346
767,346
143,658
826,346
405,658
660,66
733,462
733,462
428,828
297,346
3304,297
404,683
25,806
441,538
451,66
622,290
733,353
75,828
143,836
422,290
622,345
733,836
3304,836
673,823
846,641
812,462
792,814
812,462
812,462
812,462
851,835
344,336
613,462
1004,814
848,792
350,806
437,184
3,416
3,416
359,814
605,3304
302,416
317,683
143,175
788,851
586,733
425,396
346,622
425,658
622,788
1464,65
860,836
310,788
353,814
290,184
861,812
1,788
121,396
143,660
424,823
750,788
350,812
1573,613
863,175
795,861
25,660
1,2
65,660
445,346
519,1
836,416
763,873
836,462
382,660
151,660
318,284
318,303
876,814
382,290
878,873
873,462
296,296
880,814
404,473
136,877
798,303
885,812
619,296
744,296
458,396
382,887
888,613
261,887
318,451
261,812
343,812
891,416
806,65
310,382
823,823
360,798
733,709
733,451
893,462
297,709
930,1
297,296
894,296
767,660
513,121
930,66
767,807
1573,613
930,451
437,303
200,65
619,180
317,303
460,297
622,798
200,66
454,462
454,65
767,494
66,788
290,903
911,65
143,913
914,913
750,918
919,425
441,774
733,65
582,65
808,1
916,121
422,887
916,788
919,788
750,290
45,798
828,290
2,922
350,382
143,922
66,290
767,924
297,788
451,121
598,928
3304,65
931,928
1,2
763,893
454,416
586,416
914,416
290,812
812,812
290,812
136,922
297,66
908,814
939,353
423,812
728,812
290,812
3,416
940,66
297,930
582,66
382,812
290,812
382,416
451,416
382,416
943,930
622,416
349,812
382,942
1459,416
598,942
913,416
733,184
182,1459
813,909
75,1459
947,66
846,416
261,877
405,353
733,344
75,416
950,416
405,382
297,930
951,343
121,290
346,66
78,78
36108,416
851,416
239,416
239,812
121,2
36108,416
317,416
3,812
956,416
428,317
360,437
437,913
957,812
437,11
350,913
3,913
349,913
439,83
961,290
437,812
25,812
25,962
1,962
956,812
324,812
360,889
916,83
3,1
916,1
290,812
143,353
986,1
404,763
451,812
493,11
121,1
11,290
121,966
493,290
290,900
350,763
382,290
45,813
350,900
908,302
11,709
45,416
45,812
919,361
382,3
968,494
65,290
473,290
1826,307
446,913
446,812
381,66
381,184
65,66
381,788
83,307
404,290
158,812
880,290
345,750
297,966
961,290
923,416
622,307
983,416
346,307
326,290
454,812
984,812
262,290
437,83
987,807
468,812
290,988
519,788
913,913
297,3
290,913
799,184
394,985
350,296
788,913
100,75
892,416
321,996
717,441
65,913
350,807
262,913
121,441
914,699
290,913
65,121
447,441
1,441
986,100
1044,586
986,65
914,65
622,997
65,997
744,668
65,975
65,798
35428,997
27,1
143,65
250,441
417,65
353,975
1004,416
774,211
823,962
622,402
468,798
440,65
613,441
440,211
66,402
350,402
1008,416
1005,1
404,2
303,1007
3304,997
333,550
75,1
3304,988
297,894
728,1
135,975
135,416
25,1
437,350
65,416
896,798
66,361
1,955
184,613
889,798
955,894
598,812
744,894
3304,416
303,812
121,812
380,613
396,622
493,988
1015,641
744,955
425,622
825,416
913,812
992,16
1018,988
36108,812
437,350
986,2
30,894
484,955
297,1018
302,812
297,1018
405,143
321,622
121,622
441,143
1013,894
986,297
439,65
1018,362
1017,349
65,362
65,143
445,1
956,27
1021,362
121,362
1023,913
622,788
27,1
4,1
310,2008
1,2008
865,290
1459,1
45,812
586,788
404,290
45,913
774,1027
728,1027
322,402
351,121
310,2008
1013,894
380,473
1028,382
302,807
429,807
1031,382
109,350
914,818
359,818
345,184
1005,1
622,709
728,641
519,2
977,290
297,709
828,1034
1035,121
297,290
349,290
297,473
439,622
1023,290
1021,290
1040,66
892,65
290,565
2926,336
812,807
25,1042
910,290
812,65
431,467
3304,290
431,1042
262,1042
431,362
1044,586
431,709
66,66
1021,493
1046,1027
379,1018
3,121
3,121
440,1042
1050,1049
360,1034
437,350
290,1049
75,1052
1047,807
1013,296
297,788
1047,416
813,818
2,1084
1047,273
1008,416
297,2
1056,812
65,182
302,1047
66,290
1044,238
1021,65
744,1047
812,1047
437,1046
812,1047
1056,3
572,1047
460,182
1056,1047
65,382
136,1047
336,1058
1059,1038
65,1
333,1047
622,1
812,1047
582,3
290,1047
943,467
65,1047
290,1047
65,943
65,1042
349,65
622,65
332,1084
1065,182
259,1047
943,65
5771,297
806,1042
346,65
1068,416
473,65
121,1047
310,1046
582,83
422,65
349,65
778,416
310,65
310,1
65,11
451,65
451,1084
728,1027
788,1084
262,11
788,812
135,1084
1013,1071
750,1084
1060,1071
1017,65
986,788
121,1
382,1042
462,1047
307,1047
1040,66
431,943
658,1027
424,943
297,943
1,1075
1042,1047
865,1075
121,493
1079,961
375,1047
750,622
1079,416
519,943
1079,65
797,416
1082,942
1083,641
382,942
1076,1075
458,1075
987,750
1086,1075
65,1086
3304,370
469,806
1090,750
1075,1047
302,668
659,1075
404,469
622,1086
431,469
284,1075
750,913
346,1075
350,382
135,750
484,484
622,1095
143,913
100,65
1096,913
1094,788
121,1095
622,100
100,317
65,100
346,622
788,100
100,402
66,100
1021,1095
350,1086
121,622
65,1106
346,1106
350,65
78,382
49,1106
81883,65
469,613
1059,143
288,121
728,65
469,943
914,100
1101,943
1018,1095
1106,11
914,1095
1093,663
750,288
66,288
290,100
65,290
65,290
65,290
622,290
83,451
321,290
262,290
83,290
788,290
382,290
431,290
431,290
1037,284
1079,290
382,290
302,290
22,121
441,429
1059,78
1060,290
1,429
469,78
1060,290
290,429
121,290
351,429
913,429
532,290
351,290
121,429
143,290
944,425
290,429
404,1
65,1
100,451
143,913
346,290
1109,1
350,1
65,1018
1042,290
75,1018
22,66
3304,3304
350,1018
622,22
1040,1095
65,22
438,975
438,788
310,745
136,913
922,1075
136,290
238,238
1116,855
362,290
1021,605
362,290
935,238
49,1018
935,385
66,622
513,22
1,622
429,663
349,605
349,1047
351,290
782,290
1054,972
250,975
440,972
1047,83
1121,290
25,812
961,3
915,425
1093,663
763,913
1107,1047
65,797
65,797
65,797
302,972
451,797
1107,797
429,83
429,797
1057,290
404,22
438,797
675,290
717,416
344,290
346,1124
619,290
619,812
1079,812
1102,1124
136,797
83,797
750,675
750,797
404,1124
699,498
35428,290
675,65
3304,675
699,337
1107,1
622,429
250,35428
675,65
22,675
1106,65
613,35428
451,35428
911,942
855,65
3,942
65,451
728,65
65,35428
1107,797
100,100
310,429
450,71
812,3
1459,1131
78,78
1143,797
100,65
1144,797
622,65
622,65
802,1142
750,290
750,707
439,622
1143,613
961,416
349,707
1021,65
1,797
349,707
349,707
344,707
93,416
1131,1131
1017,65
344,290
310,290
916,622
290,750
136,750
11,750
3,3
102,3
102,3
102,3
916,65
102,3
290,3
1148,750
766,3
1149,493
360,310
3,78
321,3
3,78
382,3
1149,71
3,3
1152,3
1151,16
2,11
259,11
45,416
880,78
837,16
121,65
345,290
345,290
121,750
451,349
382,750
838,3
297,22
297,788
622,310
297,310
469,3
650,3
1158,238
439,11
340,451
801,771
1152,27
66,78
622,733
317,469
290,1159
317,65
360,733
1037,1459
316,78
1162,1162
1,3
296,1093
1163,550
1,3
394,290
800,733
493,717
766,3
262,469
766,1165
766,3
1149,1165
766,3
431,1165
297,788
262,750
766,3
1166,290
350,469
1167,484
766,774
750,788
766,3
1168,1047
913,431
813,431
262,431
915,788
766,1170
290,750
259,402
303,469
763,1171
763,454
650,431
297,1170
766,3
910,1057
75,1057
75,297
75,78
65,297
75,65
65,65
1179,1053
1180,65
3,750
65,792
778,288
763,792
460,359
65,359
778,290
318,750
310,359
143,774
763,1171
360,297
430,792
65,416
1183,416
430,290
750,813
143,65
766,597
382,597
297,2
111,65
1018,416
451,416
143,65
1185,3
1017,65
65,774
440,65
673,3
317,75
865,65
297,431
35428,416
1,353
1017,2
426,65
30,774
1191,65
353,1188
297,2
1189,290
1177,797
613,1188
310,290
778,290
431,290
1193,3
317,622
766,1171
1193,768
788,622
66,622
1044,1171
373,297
431,317
1059,1170
1059,1159
778,1245
750,290
750,1245
1245,1245
493,290
2,1245
146,1131
1245,1245
451,25
1198,303
404,25
709,25
683,65
381,343
307,451
381,290
45,792
307,307
915,788
473,733
532,1075
451,307
532,290
451,683
83,733
1149,1245
619,1207
22,1202
750,683
431,683
571,353
431,683
379,1202
66,1202
136,1047
290,1202
297,1202
351,1202
297,1047
297,1047
1049,1202
766,1202
766,1047
1017,437
622,622
22,431
394,4
146,1131
440,1207
927,4
146,774
412,4
307,4
22,431
19,1075
416,416
297,1132
22,1047
3304,416
297,1132
350,1132
379,660
75,75
3304,65
405,416
484,913
20584,1178
25,3
3304,3
65,1202
25,913
20584,441
143,913
440,1132
25,1132
1221,707
65,683
1220,4
484,913
3304,65
65,81
310,11
1004,1216
66,81
310,1220
342,1086
733,11
75,11
78,800
65,303
75,303
45,303
297,1171
75,65
437,65
1177,622
238,1131
65,83
1182,462
1227,441
586,441
65,83
310,7
1018,7
238,1131
32,707
297,7
1220,290
1229,416
613,290
65,290
22,290
344,462
498,942
351,290
1021,290
451,290
622,290
312,290
498,913
1021,65
135,498
310,707
1143,622
360,707
75,302
424,83
290,290
78,290
838,498
135,498
498,913
428,65
838,290
965,913
2,913
360,65
312,416
619,290
1149,1073
317,498
350,707
1233,290
3,498
238,441
1149,441
238,290
121,290
342,429
302,1229
1234,290
136,498
66,1040
1171,498
3304,7
66,361
1231,942
288,498
1048,1040
350,11
1048,425
121,297
1059,1047
434,622
1,1
3,361
78,498
1229,462
1229,462
382,290
412,683
121,493
121,683
259,498
404,498
45,644
262,1060
45,498
1047,1047
78,382
1245,1245
423,498
469,290
1220,83
840,942
406,1229
619,3
619,3
513,493
1249,462
45,717
450,290
290,382
1250,290
860,45
454,360
454,717
259,360
1044,45
1162,302
454,1047
1049,1229
135,302
913,1234
290,4402
143,360
1073,1245
75,4402
1246,11
1249,360
75,184
1249,812
437,184
586,644
605,4402
404,1161
437,184
22,431
297,4402
619,429
382,382
1021,1161
812,382
766,297
1162,382
381,707
1464,498
956,1161
121,1161
763,382
1175,812
763,733
1125,360
100,184
468,910
1098,812
927,1161
802,910
360,451
32,1161
454,4402
1017,381
45,360
405,910
1257,807
377,65
1079,1200
143,382
3304,412
441,1060
136,382
2,4
1258,1216
290,382
1143,788
75,353
65,4
65,353
20584,1178
450,382
1,377
353,45
1246,382
262,812
65,812
361,1
1079,45
65,412
66,1048
838,812
944,45
65,1048
121,812
813,812
359,814
763,351
83,812
733,1106
362,812
49,350
1048,350
143,812
763,733
310,1261
350,1261
1227,1262
1000,812
381,1261
913,382
689,382
381,350
689,429
484,913
689,429
468,910
121,1
290,812
381,362
858,3
32,1
350,913
1266,65
121,1
426,65
342,644
1268,686
1,2
733,362
100,788
733,788
763,1265
49,362
586,362
934,1192
582,65
121,290
382,290
429,3
302,812
513,412
78,290
350,66
11,788
1079,1060
429,3
78,362
1149,683
1149,1234
45,66
1245,1234
394,288
1223,25
650,382
381,377
1272,382
532,469
297,290
1106,1047
297,1047
469,136
1459,910
1182,136
109,66
290,1274
986,184
402,184
1276,1274
27,1047
1265,1223
1246,184
143,290
15245,78
83,382
619,812
441,1060
454,45
394,361
4,4
1060,4
1079,1042
813,4
290,4
402,351
813,1079
297,1079
36108,290
469,290
406,351
317,135
350,437
586,1079
360,66
1168,412
381,351
350,1079
437,65
297,1095
1098,416
381,1079
382,290
25,135
1042,441
437,66
1,788
605,4
297,4
660,135
121,1047
22,22
1035,22
404,2
353,1047
440,135
1131,1131
622,788
22,431
1227,297
1223,136
1292,135
763,402
1233,290
1098,630
1233,362
437,303
1233,812
513,683
1004,812
586,402
297,4556
1296,143
302,812
532,689
83,689
580,83
498,78
437,733
310,733
22,78
303,361
25,429
855,49
66,78
855,362
25,362
297,429
297,1384
440,4556
303,1299
1171,429
3,78
75,303
297,362
317,136
317,855
75,855
379,1299
360,303
3,1299
317,303
317,774
25,303
25,1
118,462
3,303
102,143
813,78
1048,1261
765,136
350,1246
1301,136
350,896
45,303
1123,855
1245,451
45,733
450,855
1152,362
303,494
1076,1047
66,1095
297,494
1281,1047
1125,683
733,362
1047,462
1306,83
1249,416
66,813
1304,143
143,1305
1306,3
858,1047
858,1193
297,949
360,798
379,949
1073,949
3,788
916,788
22,303
1246,462
49,350
1171,303
65,788
582,788
1098,1060
1464,683
1313,451
934,1047
763,351
66,78
65,78
673,290
65,290
20584,27
310,494
290,494
20584,1178
379,494
93,362
1305,416
1143,65
763,2258
78,290
40,1
66,83
1261,416
683,462
290,1319
143,1319
1158,630
1158,447
1322,78
1321,462
78,83
1048,302
1059,394
32,332
1098,49
1059,65
1061,143
1326,143
1326,290
450,683
763,1171
1329,143
1149,683
382,1459
297,317
454,317
360,1328
136,1171
1037,1330
2258,2258
3304,683
586,1068
1109,1049
428,1049
360,683
1021,683
1059,78
1171,1459
1000,1171
1044,1171
143,1171
1040,22
93,382
1004,1171
1093,462
93,800
359,359
359,359
49,800
66,382
2,1021
359,359
412,382
143,359
683,1021
49,350
437,1049
27,1330
431,683
1040,65
239,359
1464,65
1245,1337
290,382
302,429
1245,913
398,462
1384,1073
1384,290
290,1340
4556,4556
1245,1340
1073,1340
310,1328
619,1340
1335,1340
3,143
382,4556
622,1340
949,1340
290,429
350,1343
2258,2258
766,359
1168,1340
766,1340
1119,1265
362,359
1104,429
1347,1042
362,359
1158,359
1119,1234
78,302
896,1265
348,800
310,622
3,4556
806,4556
703,351
1351,65
888,78
630,1340
297,78
1353,800
297,1337
1042,359
1320,359
1018,1355
297,143
1223,302
1223,336
404,4
4556,4556
1223,985
382,65
469,1340
310,733
800,362
65,450
1310,812
1223,66
83,450
1223,316
1042,66
83,1340
1042,429
1042,1459
284,450
733,65
1028,1042
382,1042
766,359
350,1049
766,78
1321,462
1335,359
619,795
1104,462
1360,429
3,1042
1355,361
348,361
1040,1040
1223,65
412,1040
382,4556
302,812
1060,812
437,467
350,467
1365,359
469,359
469,359
1345,353
766,302
1048,1040
66,65
1345,728
1079,763
1177,622
582,65
1098,1366
370,1340
83,1369
375,83
297,1355
3,1369
874,1369
429,1369
75,1355
297,4556
2,370
1345,85
429,1229
75,622
350,622
11,622
102,1369
1320,836
11,1374
2,1363
382,1374
1450,349
1061,1229
78,622
25,1229
11,78
4556,4556
429,429
25,429
1384,683
302,1338
795,795
310,78
1388,607
45,622
65,1229
416,1389
404,370
1384,1389
1384,349
1049,1386
586,1389
136,1229
1384,290
1354,290
1245,1245
1347,416
763,1386
1044,1245
930,370
340,1389
1354,382
360,450
765,429
622,717
75,717
1354,290
498,429
484,65
619,429
437,429
136,290
398,398
800,290
441,1366
766,1229
1104,429
1392,398
986,1355
733,1389
733,622
359,1354
1335,317
1168,1354
1393,1354
942,1340
766,1354
788,1354
1177,1340
290,1354
1233,836
136,1354
733,450
1394,65
382,1229
382,1042
66,375
675,375
468,750
1179,412
1330,1330
1179,135
297,1
1177,135
1400,135
1374,1389
1109,1106
250,1106
25,1049
1253,344
1450,750
317,1049
1335,1049
381,1177
1403,382
381,344
75,25
788,1401
136,812
532,913
1345,812
532,913
1061,1042
297,1042
424,375
1061,1171
1308,1401
310,1106
1404,1220
1,25
239,1049
1253,143
121,65
1,1
350,1389
1450,1042
350,913
1450,429
763,630
1120,462
404,2
310,709
1313,462
1313,462
121,2
65,1161
1223,65
1184,1401
1184,1012
1302,1407
382,1459
1222,107
454,1407
360,2
1306,136
1306,394
382,136
1253,2
1423,359
1131,1302
1171,382
66,1095
1429,107
65,382
1430,65
66,290
1222,1178
297,1171
961,359
1374,812
1437,812
182,812
143,1060
1459,812
1450,812
136,812
290,812
1321,812
1442,416
1392,1165
121,812
699,812
1048,32
1392,1165
987,290
732,75
25,429
812,429
812,429
1445,429
290,429
812,429
297,429
1392,1
121,367
1253,367
703,136
630,1049
45,429
1450,398
45,812
1464,683
763,429
1143,1049
25,695
1227,695
1253,290
763,695
1847,1047
1227,1847
1456,416
1437,429
622,429
571,695
310,65
1392,812
1450,11
317,11
382,812
1042,382
75,416
1335,812
1447,429
1345,290
1335,1165
934,429
1847,1462
382,429
1335,1223
290,359
290,290
532,1462
532,1354
78,1462
1464,683
1463,1223
1450,835
805,429
1450,1223
3,1462
1463,667
1171,359
1463,1106
785,1462
1465,303
1450,429
785,416
865,1462
1443,416
1443,1462
250,1223
1,1468
1465,3
1465,3
1450,359
107,1462
83,28
532,807
1471,1469
1471,1442
1472,316
143,1442
1223,812
66,1469
1472,812
1125,451
297,1469
454,1442
297,28
804,175
1473,1047
1469,1469
913,996
1335,996
1149,956
1131,1470
428,451
262,996
914,451
136,175
802,812
498,1469
498,1462
498,695
1450,425
297,2
1472,1469
1049,1386
431,451
1354,290
1476,828
1477,1469
346,828
1478,1469
65,451
1477,1469
1061,1442
440,441
65,828
451,956
451,1161
1222,1
45,75
1098,441
65,290
297,290
290,45
297,45
45,45
1450,1387
66,1481
370,290
370,1481
1098,695
1468,1468
297,1481
1463,1483
1017,733
1335,1589
382,1589
1463,1589
1233,695
838,1340
1171,1195
1465,1468
992,1195
1233,1195
1470,1470
1222,1460
1465,1589
1463,812
622,290
431,1021
437,75
1450,1406
1335,1468
136,429
441,812
350,1475
1494,996
1406,812
1450,1054
317,429
802,1488
297,1492
353,382
484,382
1131,1488
613,1475
484,382
484,382
288,1047
484,382
297,382
586,788
1468,1468
1193,402
1496,382
1098,441
1450,297
788,1589
75,1589
2,1589
49,788
763,630
32,1589
450,1589
1028,1492
1119,1501
429,1228
1119,238
1309,1049
1354,1274
1509,1469
763,1501
1223,788
450,717
451,429
717,1228
441,1508
828,1508
1513,1469
914,1228
382,1228
987,290
297,1501
1106,717
1017,717
1335,699
350,429
1253,297
136,441
1149,699
1463,1049
1017,473
1214,1519
1222,429
441,1519
1233,429
582,622
350,1106
1233,1
1384,1464
763,1
78,78
1463,1
1,1
296,1
121,1
317,699
405,297
881,630
1104,1
1524,297
1525,913
1526,1518
675,1
2258,290
1528,396
1529,699
1531,1470
380,1468
613,1518
65,1021
1532,1354
440,913
1233,913
774,1
143,1447
1536,1047
699,290
1536,1047
1536,1047
1528,1095
290,1538
1021,1538
1528,65
290,1447
431,699
1233,1447
855,1447
317,370
1266,1501
695,1042
785,1
121,774
445,107
445,1389
1450,394
394,1544
302,1551
303,774
1450,1532
303,1551
943,1544
1061,1096
121,1532
340,1047
1234,1551
1234,316
404,1541
1037,1552
622,855
297,855
1335,1552
1234,290
1335,290
1234,1047
709,1553
1245,1131
297,1532
1532,416
1546,1552
290,1553
532,290
1450,1172
1149,1555
454,855
1450,22
93,1
1450,284
121,1547
1557,774
66,297
441,297
1131,1532
1450,66
806,1532
11,28
1532,429
1558,429
1266,1195
1558,462
1464,855
290,855
440,774
1464,855
297,1096
1465,1552
802,1096
1143,1521
1532,1459
1335,1121
1465,1462
1450,297
1131,416
1061,1178
297,1532
1384,412
930,412
317,1552
1345,3
1450,290
806,630
143,806
11,806
1172,462
1172,462
1172,1047
1463,262
290,262
582,66
1233,806
441,262
1335,429
1463,429
913,262
121,262
1098,262
121,806
1227,1121
935,136
429,136
98,290
717,136
75,1570
828,1570
1465,1570
310,1245
290,136
310,1589
1573,1570
317,1552
712,416
19,136
1335,1465
1573,1465
532,1
1233,136
586,1178
32,1589
11,1589
1577,1570
1131,262
1253,806
1246,1589
3304,136
1104,136
1116,675
1579,75
1406,1518
451,136
1579,416
1579,1579
451,1521
1234,262
451,88
404,88
1234,1521
1234,343
394,78
450,1570
1384,88
1168,1406
394,1532
340,343
423,343
302,343
19,1532
360,88
394,462
1698,622
1580,462
1149,88
1698,798
1583,1544
1450,622
1698,75
350,1585
802,1585
1245,343
66,343
1131,806
132,1544
1450,343
1587,798
66,65
613,343
1450,65
66,717
297,462
75,462
1119,85
1450,717
65,136
586,343
1532,416
1143,1462
350,1079
437,451
65,451
65,750
66,750
1,750
1533,462
1,397
1,1079
1234,913
2,397
1406,913
1234,65
2,397
1593,65
302,1592
297,494
297,1592
78,65
75,1592
382,1592
83,65
750,494
766,1593
927,65
1463,65
750,297
1021,494
310,297
321,1465
3304,1595
1532,382
493,1169
1599,913
806,1592
404,1465
763,406
451,429
1698,750
1049,406
297,1595
454,1593
360,1149
935,343
881,406
66,65
1245,429
1463,1149
66,290
1450,290
468,1593
